feature,logit_abs_coef,rf_gini_importance,rf_permutation_importance,rf_permutation_importance_raw,rf_permutation_std,logit_abs_coef_rank,rf_gini_importance_rank,rf_permutation_importance_rank
mean_rms,9.092075743783509,0.14116218283831222,0.39242980011097783,0.39242980011097783,0.02024192677709033,1.0,1.0,1.0
mean_thetaP,0.09395159320222793,0.09492000607241728,0.31293229711070686,0.31293229711070686,0.04805079678285705,47.0,3.0,2.0
mean_hjorth_activity,2.724087209245002,0.1372850615337506,0.1124738686074872,0.1124738686074872,0.01717153223433327,6.0,2.0,3.0
mean_alphaP,1.0197223097096577,0.05590266630087652,0.01911059708618852,0.01911059708618852,0.007657916707783767,25.0,5.0,4.0
mean_totalP_0p5_40,1.4909218931957031,0.09421172717047781,0.01697330726646286,0.01697330726646286,0.0056448562853506435,15.0,4.0,5.0
max_thetaP,0.12452860927275543,0.04877049668084381,0.006763514123856423,0.006763514123856423,0.00566053479748233,43.0,7.0,6.0
mean_beta_alpha_ratio,2.110537080954268,0.010092503722274514,0.003185771618081687,0.003185771618081687,0.004374927387789927,11.0,16.0,7.0
max_theta_beta_ratio,0.027257933076729496,0.006088465369974916,0.0026720155368872706,0.0026720155368872706,0.004315366762809514,50.0,22.0,8.0
mean_theta_beta_ratio,0.7731043021627694,0.006266771410645164,0.0015291703766792952,0.0015291703766792952,0.004212410469758226,29.0,21.0,9.0
max_beta_alpha_ratio,1.315997681359886,0.005436133089830916,0.0007024828048985965,0.0007024828048985965,0.00028732992799122516,18.0,24.0,10.0
max_thetaRel,0.8312919802383734,0.005029590022937494,0.0005032712632109526,0.0005032712632109526,0.00019671262203586177,28.0,27.0,11.0
mean_thetaRel,1.3861040318114939,0.005089989873212519,0.00034599899345758023,0.00034599899345758023,8.834664667400866e-05,17.0,26.0,12.0
mean_kurt,1.2753934585068232,0.004045842903408475,0.0002516356316055318,0.0002516356316055318,0.00021792284946766215,19.0,28.0,13.0
max_kurt,0.5009322710059747,0.0022861727168408375,0.00023066599563836832,0.00023066599563836832,6.954841449329299e-05,36.0,44.0,14.0
max_betaRel,4.386872620129126,0.005692044897739414,0.00017824190572063303,0.00017824190572063303,0.00016478184916020265,4.0,23.0,15.0
max_alpha_theta_ratio,0.11431818676189354,0.003449407607780305,6.290890790142112e-05,6.290890790142112e-05,8.121505087668073e-05,45.0,31.0,16.0
mean_betaRel,1.101353256050611,0.003480300838238847,3.145445395075219e-05,3.145445395075219e-05,0.0001021933646284903,23.0,30.0,17.0
mean_sampleEn_approx,2.172151971439528,0.0029424369228639173,3.145445395075219e-05,3.145445395075219e-05,5.8376995919652334e-05,10.0,36.0,17.0
mean_skew,0.5244730188255343,0.0020445170353008218,2.0969635967149625e-05,2.0969635967149625e-05,3.632047491132688e-05,35.0,46.0,19.0
max_alphaP,0.3801864872377014,0.03252140414679612,1.7743538126113734e-05,1.7743538126113734e-05,0.005539575195313841,39.0,11.0,20.0
max_spec_entropy,1.8192860501183292,0.002700910073240502,2.7755575615628914e-17,2.7755575615628914e-17,4.193927193424374e-05,14.0,42.0,21.0
mean_alphaRel,0.1881476830551463,0.008349113679874074,0.0,-0.00010484817983552608,0.00011675399183923487,42.0,17.0,22.0
mean_betaP,0.4765332298947797,0.024175643364610037,0.0,-0.000671028350947761,0.00013262362272135057,37.0,12.0,22.0
mean_deltaP,0.9880421255389445,0.021644759406872296,0.0,-0.0006395738969970227,5.837699591958503e-05,26.0,13.0,22.0
mean_deltaRel,5.06989218793964,0.0031272807840640746,0.0,-0.0001258178158026202,4.193927193424374e-05,2.0,34.0,22.0
mean_fuzzyEn_approx,2.1750202233863463,0.0029306941406428877,0.0,-5.2424089917735284e-05,8.32206627788136e-05,9.0,37.0,22.0
mean_spec_slope_4_40,1.2244980089115627,0.002798186502854507,0.0,-0.0001258178158026202,9.377906297181809e-05,21.0,39.0,22.0
mean_spec_entropy,1.8601439626054355,0.001992725622828378,0.0,-0.00012581781580263407,7.264094982253358e-05,13.0,47.0,22.0
mean_alpha_theta_ratio,2.9048410622737326,0.004013374840545642,0.0,-1.0484817983505423e-05,7.775749126715052e-05,5.0,29.0,22.0
mean_hjorth_complexity,2.4687962442466658,0.0015958483209959809,0.0,-7.339372588485715e-05,6.54776673208629e-05,7.0,50.0,22.0
max_sampleEn_approx,1.2578738238650147,0.0028756656450989655,0.0,-2.0969635967038602e-05,0.00010056684120350948,20.0,38.0,22.0
mean_zcr,2.4265003622206076,0.0023999256478648956,0.0,-9.436336185197902e-05,7.775749126710747e-05,8.0,43.0,22.0
mean_line_length,0.6549447542613109,0.04509566776924878,0.0,-0.0028099312195939558,0.00027501419746277277,33.0,8.0,22.0
mean_beta_peak_freq,0.07615148466255521,0.002148085047980585,0.0,0.0,0.0,48.0,45.0,22.0
max_totalP_0p5_40,0.9513769573127397,0.03706192269332819,0.0,-0.0012896326119777868,0.0002135919810797719,27.0,10.0,22.0
max_betaP,0.0628898147693472,0.007495137066044191,0.0,-0.00013630263378620888,9.319110066801579e-05,49.0,18.0,22.0
