mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split0_ranking_0,split0_ranking_1,split0_ranking_2,split0_ranking_3,split0_ranking_4,split0_ranking_5,split0_ranking_6,split0_ranking_7,split0_ranking_8,split0_ranking_9,split0_ranking_10,split0_ranking_11,split0_ranking_12,split0_ranking_13,split0_ranking_14,split0_ranking_15,split0_ranking_16,split0_ranking_17,split0_ranking_18,split0_ranking_19,split0_ranking_20,split0_ranking_21,split0_ranking_22,split0_ranking_23,split0_ranking_24,split0_ranking_25,split0_ranking_26,split0_ranking_27,split0_ranking_28,split0_ranking_29,split0_ranking_30,split0_ranking_31,split0_ranking_32,split0_ranking_33,split0_ranking_34,split0_ranking_35,split0_ranking_36,split0_ranking_37,split0_ranking_38,split0_ranking_39,split0_ranking_40,split0_ranking_41,split0_ranking_42,split0_ranking_43,split0_ranking_44,split0_ranking_45,split0_ranking_46,split0_ranking_47,split0_ranking_48,split0_ranking_49,split1_ranking_0,split1_ranking_1,split1_ranking_2,split1_ranking_3,split1_ranking_4,split1_ranking_5,split1_ranking_6,split1_ranking_7,split1_ranking_8,split1_ranking_9,split1_ranking_10,split1_ranking_11,split1_ranking_12,split1_ranking_13,split1_ranking_14,split1_ranking_15,split1_ranking_16,split1_ranking_17,split1_ranking_18,split1_ranking_19,split1_ranking_20,split1_ranking_21,split1_ranking_22,split1_ranking_23,split1_ranking_24,split1_ranking_25,split1_ranking_26,split1_ranking_27,split1_ranking_28,split1_ranking_29,split1_ranking_30,split1_ranking_31,split1_ranking_32,split1_ranking_33,split1_ranking_34,split1_ranking_35,split1_ranking_36,split1_ranking_37,split1_ranking_38,split1_ranking_39,split1_ranking_40,split1_ranking_41,split1_ranking_42,split1_ranking_43,split1_ranking_44,split1_ranking_45,split1_ranking_46,split1_ranking_47,split1_ranking_48,split1_ranking_49,split2_ranking_0,split2_ranking_1,split2_ranking_2,split2_ranking_3,split2_ranking_4,split2_ranking_5,split2_ranking_6,split2_ranking_7,split2_ranking_8,split2_ranking_9,split2_ranking_10,split2_ranking_11,split2_ranking_12,split2_ranking_13,split2_ranking_14,split2_ranking_15,split2_ranking_16,split2_ranking_17,split2_ranking_18,split2_ranking_19,split2_ranking_20,split2_ranking_21,split2_ranking_22,split2_ranking_23,split2_ranking_24,split2_ranking_25,split2_ranking_26,split2_ranking_27,split2_ranking_28,split2_ranking_29,split2_ranking_30,split2_ranking_31,split2_ranking_32,split2_ranking_33,split2_ranking_34,split2_ranking_35,split2_ranking_36,split2_ranking_37,split2_ranking_38,split2_ranking_39,split2_ranking_40,split2_ranking_41,split2_ranking_42,split2_ranking_43,split2_ranking_44,split2_ranking_45,split2_ranking_46,split2_ranking_47,split2_ranking_48,split2_ranking_49,split0_support_0,split0_support_1,split0_support_2,split0_support_3,split0_support_4,split0_support_5,split0_support_6,split0_support_7,split0_support_8,split0_support_9,split0_support_10,split0_support_11,split0_support_12,split0_support_13,split0_support_14,split0_support_15,split0_support_16,split0_support_17,split0_support_18,split0_support_19,split0_support_20,split0_support_21,split0_support_22,split0_support_23,split0_support_24,split0_support_25,split0_support_26,split0_support_27,split0_support_28,split0_support_29,split0_support_30,split0_support_31,split0_support_32,split0_support_33,split0_support_34,split0_support_35,split0_support_36,split0_support_37,split0_support_38,split0_support_39,split0_support_40,split0_support_41,split0_support_42,split0_support_43,split0_support_44,split0_support_45,split0_support_46,split0_support_47,split0_support_48,split0_support_49,split1_support_0,split1_support_1,split1_support_2,split1_support_3,split1_support_4,split1_support_5,split1_support_6,split1_support_7,split1_support_8,split1_support_9,split1_support_10,split1_support_11,split1_support_12,split1_support_13,split1_support_14,split1_support_15,split1_support_16,split1_support_17,split1_support_18,split1_support_19,split1_support_20,split1_support_21,split1_support_22,split1_support_23,split1_support_24,split1_support_25,split1_support_26,split1_support_27,split1_support_28,split1_support_29,split1_support_30,split1_support_31,split1_support_32,split1_support_33,split1_support_34,split1_support_35,split1_support_36,split1_support_37,split1_support_38,split1_support_39,split1_support_40,split1_support_41,split1_support_42,split1_support_43,split1_support_44,split1_support_45,split1_support_46,split1_support_47,split1_support_48,split1_support_49,split2_support_0,split2_support_1,split2_support_2,split2_support_3,split2_support_4,split2_support_5,split2_support_6,split2_support_7,split2_support_8,split2_support_9,split2_support_10,split2_support_11,split2_support_12,split2_support_13,split2_support_14,split2_support_15,split2_support_16,split2_support_17,split2_support_18,split2_support_19,split2_support_20,split2_support_21,split2_support_22,split2_support_23,split2_support_24,split2_support_25,split2_support_26,split2_support_27,split2_support_28,split2_support_29,split2_support_30,split2_support_31,split2_support_32,split2_support_33,split2_support_34,split2_support_35,split2_support_36,split2_support_37,split2_support_38,split2_support_39,split2_support_40,split2_support_41,split2_support_42,split2_support_43,split2_support_44,split2_support_45,split2_support_46,split2_support_47,split2_support_48,split2_support_49,n_features
0.9148254530334518,0.0037590471162902046,0.9109414376575062,0.919910941475827,0.913623979967022,2,1,19,10,23,16,12,14,23,5,17,1,7,15,3,1,8,20,16,1,13,4,6,3,1,21,12,11,21,15,20,13,24,19,11,8,14,5,18,4,10,6,24,17,7,22,18,9,9,22,7,7,14,8,15,19,18,20,16,3,4,1,10,11,5,1,10,9,13,1,14,2,4,1,8,1,22,24,9,18,24,20,23,17,19,17,21,3,22,6,5,6,11,12,15,12,21,16,13,23,24,22,19,16,10,23,19,17,13,4,8,15,16,20,1,7,8,3,15,1,14,3,5,4,10,11,9,18,17,11,22,20,21,21,7,5,18,1,9,1,14,1,6,2,13,12,12,23,6,24,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,5
0.9154876761208858,0.004817059442872054,0.9108814352574103,0.9221374045801527,0.9134441885250946,1,1,18,9,22,15,11,13,22,4,16,1,6,14,2,1,7,19,15,1,12,3,5,2,1,20,11,10,20,14,19,12,23,18,10,7,13,4,17,3,9,5,23,16,6,21,17,8,8,21,6,6,13,7,14,18,17,19,15,2,3,1,9,10,4,1,9,8,12,1,13,1,3,1,7,1,21,23,8,17,23,19,22,16,18,16,20,2,21,5,4,5,10,11,14,11,20,15,12,22,23,21,18,15,9,22,18,16,12,3,7,14,15,19,1,6,7,2,14,1,13,2,4,3,9,10,8,17,16,10,21,19,20,20,6,4,17,1,8,1,13,1,5,1,12,11,11,22,5,23,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,6
0.922229932450685,0.0034093010354374767,0.9269170766830673,0.9208651399491095,0.9189075807198784,1,1,17,8,21,14,10,12,21,3,15,1,5,13,1,1,6,18,14,1,11,2,4,1,1,19,10,9,19,13,18,11,22,17,9,6,12,3,16,2,8,4,22,15,5,20,16,7,7,20,5,5,12,6,13,17,16,18,14,1,2,1,8,9,3,1,8,7,11,1,12,1,2,1,6,1,20,22,7,16,22,18,21,15,17,15,19,1,20,4,3,4,9,10,13,10,19,14,11,21,22,20,17,14,8,21,17,15,11,2,6,13,14,18,1,5,6,1,13,1,12,1,3,2,8,9,7,16,15,9,20,18,19,19,5,3,16,1,7,1,12,1,4,1,11,10,10,21,4,22,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,8
0.9227117764501317,0.003011329129146726,0.9231369254770191,0.9188295165394402,0.9261688873339359,1,1,16,7,20,13,9,11,20,2,14,1,4,12,1,1,5,17,13,1,10,1,3,1,1,18,9,8,18,12,17,10,21,16,8,5,11,2,15,1,7,3,21,14,4,19,15,6,6,19,4,4,11,5,12,16,15,17,13,1,1,1,7,8,2,1,7,6,10,1,11,1,1,1,5,1,19,21,6,15,21,17,20,14,16,14,18,1,19,3,2,3,8,9,12,9,18,13,10,20,21,19,16,13,7,20,16,14,10,1,5,12,13,17,1,4,5,1,12,1,11,1,2,1,7,8,6,15,14,8,19,17,18,18,4,2,15,1,6,1,11,1,3,1,10,9,9,20,3,21,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,10
0.9284445421540419,0.005416249029048589,0.9343123724948998,0.9212468193384225,0.9297744346288035,1,1,15,6,19,12,8,10,19,1,13,1,3,11,1,1,4,16,12,1,9,1,2,1,1,17,8,7,17,11,16,9,20,15,7,4,10,1,14,1,6,2,20,13,3,18,14,5,5,18,3,3,10,4,11,15,14,16,12,1,1,1,6,7,1,1,6,5,9,1,10,1,1,1,4,1,18,20,5,14,20,16,19,13,15,13,17,1,18,2,1,2,7,8,11,8,17,12,9,19,20,18,15,12,6,19,15,13,9,1,4,11,12,16,1,3,4,1,11,1,10,1,1,1,6,7,5,14,13,7,18,16,17,17,3,1,14,1,5,1,10,1,2,1,9,8,8,19,2,20,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,12
0.9233006630355511,0.00692016601090987,0.9255370214808593,0.9139312977099237,0.9304336699158706,1,1,14,5,18,11,7,9,18,1,12,1,2,10,1,1,3,15,11,1,8,1,1,1,1,16,7,6,16,10,15,8,19,14,6,3,9,1,13,1,5,1,19,12,2,17,13,4,4,17,2,2,9,3,10,14,13,15,11,1,1,1,5,6,1,1,5,4,8,1,9,1,1,1,3,1,17,19,4,13,19,15,18,12,14,12,16,1,17,1,1,1,6,7,10,7,16,11,8,18,19,17,14,11,5,18,14,12,8,1,3,10,11,15,1,2,3,1,10,1,9,1,1,1,5,6,4,13,12,6,17,15,16,16,2,1,13,1,4,1,9,1,1,1,8,7,7,18,1,19,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,True,False,14
0.9220815799554685,0.005674736128268506,0.9262570502820113,0.9140585241730279,0.925929165411366,1,1,13,4,17,10,6,8,17,1,11,1,1,9,1,1,2,14,10,1,7,1,1,1,1,15,6,5,15,9,14,7,18,13,5,2,8,1,12,1,4,1,18,11,1,16,12,3,3,16,1,1,8,2,9,13,12,14,10,1,1,1,4,5,1,1,4,3,7,1,8,1,1,1,2,1,16,18,3,12,18,14,17,11,13,11,15,1,16,1,1,1,5,6,9,6,15,10,7,17,18,16,13,10,4,17,13,11,7,1,2,9,10,14,1,1,2,1,9,1,8,1,1,1,4,5,3,12,11,5,16,14,15,15,1,1,12,1,3,1,8,1,1,1,7,6,6,17,1,18,True,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,False,True,False,16
0.9260706402124663,0.00862888861939275,0.9288971558862354,0.9143765903307888,0.9349381744203751,1,1,12,3,16,9,5,7,16,1,10,1,1,8,1,1,1,13,9,1,6,1,1,1,1,14,5,4,14,8,13,6,17,12,4,1,7,1,11,1,3,1,17,10,1,15,11,2,2,15,1,1,7,1,8,12,11,13,9,1,1,1,3,4,1,1,3,2,6,1,7,1,1,1,1,1,15,17,2,11,17,13,16,10,12,10,14,1,15,1,1,1,4,5,8,5,14,9,6,16,17,15,12,9,3,16,12,10,6,1,1,8,9,13,1,1,1,1,8,1,7,1,1,1,3,4,2,11,10,4,15,13,14,14,1,1,11,1,2,1,7,1,1,1,6,5,5,16,1,17,True,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,False,True,False,18
0.9277819063659166,0.007898850565933771,0.9209018360734429,0.9236005089058524,0.938843374118455,1,1,11,2,15,8,4,6,15,1,9,1,1,7,1,1,1,12,8,1,5,1,1,1,1,13,4,3,13,7,12,5,16,11,3,1,6,1,10,1,2,1,16,9,1,14,10,1,1,14,1,1,6,1,7,11,10,12,8,1,1,1,2,3,1,1,2,1,5,1,6,1,1,1,1,1,14,16,1,10,16,12,15,9,11,9,13,1,14,1,1,1,3,4,7,4,13,8,5,15,16,14,11,8,2,15,11,9,5,1,1,7,8,12,1,1,1,1,7,1,6,1,1,1,2,3,1,10,9,3,14,12,13,13,1,1,10,1,1,1,6,1,1,1,5,4,4,15,1,16,True,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,False,20
0.929102340895552,0.009883063000283923,0.920781831273251,0.9235368956743002,0.9429882957391047,1,1,10,1,14,7,3,5,14,1,8,1,1,6,1,1,1,11,7,1,4,1,1,1,1,12,3,2,12,6,11,4,15,10,2,1,5,1,9,1,1,1,15,8,1,13,9,1,1,13,1,1,5,1,6,10,9,11,7,1,1,1,1,2,1,1,1,1,4,1,5,1,1,1,1,1,13,15,1,9,15,11,14,8,10,8,12,1,13,1,1,1,2,3,6,3,12,7,4,14,15,13,10,7,1,14,10,8,4,1,1,6,7,11,1,1,1,1,6,1,5,1,1,1,1,2,1,9,8,2,13,11,12,12,1,1,9,1,1,1,5,1,1,1,4,3,3,14,1,15,True,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,True,False,False,False,False,True,False,22
