feature,selected,rank
max_betaRel,True,1
max_beta_alpha_ratio,True,1
max_beta_peak_freq,True,1
max_hjorth_mobility,True,1
max_kurt,True,1
max_spec_entropy,True,1
max_thetaRel,True,1
mean_alpha_theta_ratio,True,1
mean_beta_alpha_ratio,True,1
mean_deltaRel,True,1
mean_fuzzyEn_approx,True,1
mean_hjorth_activity,True,1
mean_hjorth_complexity,True,1
mean_hjorth_mobility,True,1
mean_kurt,True,1
mean_rms,True,1
mean_sampleEn_approx,True,1
mean_spec_entropy,True,1
mean_spec_slope_4_40,True,1
mean_thetaRel,True,1
mean_theta_beta_ratio,True,1
mean_zcr,True,1
max_rms,False,2
max_zcr,False,2
max_line_length,False,3
max_sampleEn_approx,False,3
max_hjorth_activity,False,4
mean_skew,False,4
max_fuzzyEn_approx,False,5
max_skew,False,5
max_deltaP,False,6
max_spec_slope_4_40,False,6
max_totalP_0p5_40,False,7
mean_betaRel,False,7
mean_alphaP,False,8
mean_line_length,False,8
max_alphaP,False,9
mean_betaP,False,9
max_deltaRel,False,10
mean_alphaRel,False,10
mean_deltaP,False,11
mean_totalP_0p5_40,False,11
max_alphaRel,False,12
max_thetaP,False,12
max_hjorth_complexity,False,13
mean_beta_peak_freq,False,13
max_alpha_theta_ratio,False,14
mean_thetaP,False,14
max_betaP,False,15
max_theta_beta_ratio,False,15
