feature,logit_abs_coef,rf_gini_importance,rf_permutation_importance,rf_permutation_importance_raw,rf_permutation_std
mean_rms,7.234896497738897,0.36864308640682014,0.3935516756352187,0.3935516756352187,0.01922785707948385
mean_hjorth_activity,1.592812425310208,0.3116377911638418,0.3630085943246487,0.3630085943246487,0.025672863337559665
max_kurt,0.7012737622788268,0.00990036405074227,0.007981366058869885,0.007981366058869885,0.006228723606613111
mean_kurt,1.4524878141558095,0.013487505831577843,0.006452195682190673,0.006452195682190673,0.006348559735309563
mean_alpha_theta_ratio,2.1316279531305615,0.028801843713847905,0.004063270230859631,0.004063270230859631,0.006181185573486903
mean_spec_slope_4_40,1.4404750905643853,0.020443927486530317,0.0029325229375557205,0.0029325229375557205,0.005492298691734766
max_hjorth_mobility,1.2351975176698546,0.013312394026946223,0.0026704024879666832,0.0026704024879666832,0.00557382740905254
mean_sampleEn_approx,3.001049424501258,0.012905998305098603,0.0024082820383777015,0.0024082820383777015,0.005603744718777853
mean_hjorth_mobility,5.458876062084782,0.012284551047277234,0.0023558579484599107,0.0023558579484599107,0.00563449827084781
mean_fuzzyEn_approx,3.002437201301397,0.01179138595591647,0.0008371723897642736,0.0008371723897642736,0.004246316586563623
mean_zcr,2.074151077621891,0.007793678395435039,0.0004282644884054526,0.0004282644884054526,0.004184093359669199
mean_thetaRel,1.9575872715187461,0.015675823504429698,6.290890790139336e-05,6.290890790139336e-05,0.00015551498253427482
mean_theta_beta_ratio,0.7670828064618168,0.02134128141575653,0.0,-0.011291342443833632,0.00750978481065246
mean_deltaRel,6.528666333850628,0.01590154998894643,0.0,-0.0005452105351450576,0.00012581781580273121
mean_beta_alpha_ratio,3.110831540670577,0.0334228461460451,0.0,-0.004764139986837529,0.009064163208763024
mean_spec_entropy,1.8237657745723583,0.009456031838857381,0.0,-0.00026212044958896785,0.00014790655908891154
max_thetaRel,0.9799194277917126,0.013521312043691943,0.0,-0.015889338391854732,0.01063584422792026
mean_hjorth_complexity,1.7395425924139922,0.018946405202007414,0.0,-0.0022840772714954327,0.004207814885431654
max_betaRel,4.407873115513952,0.013972570342290408,0.0,-0.011060676448195306,0.004150050745535719
max_beta_alpha_ratio,1.6713002363168346,0.02018908331078523,0.0,-0.015123946679054881,0.008430857228614823
max_spec_entropy,2.062073400188086,0.015010428566272823,0.0,-0.0008073309847340671,0.000182508127679169
max_beta_peak_freq,0.6628518408015328,0.011560141256883396,0.0,-0.00029357490353965066,0.0001452818996450992
